Argument,ID,Result name,Data type,L/H,Unit,Name,Multiplier,Divisor,Offset (additive),Label,Description (German),Description (English)
Absch_korr,0x01B0,STAT_Absch_korr_WERT,unsigned int,-,-,-,0.001526,-,0,Absch_korr,Korrekturwert Abschaltung,Correction value shutdown
ACCI_stInActv,0x0834,STAT_ACCI_stInActv_WERT,unsigned char,-,-,-,1,-,0,ACCI_stInActv,Status - ACC ist nicht aktiv (für Überwachung),Status - ACC is not active (for monitoring)
AccMon_stLim,0x0835,STAT_AccMon_stLim_WERT,unsigned char,-,-,-,1,-,0,AccMon_stLim,Status des Reglereingriffs - inaktiv/aktiv,Status of controller intervention - inactive / active
AccMon_trqDesSel,0x0836,STAT_AccMon_trqDesSel_WERT,unsigned long,-,Nm,-,0.000015,-,0,AccMon_trqDesSel,Zul?ssiges Sollmoment der Ebene-1 Beschleunigungsüberwachung,Permissible setpoint torque of level 1 acceleration monitoring
AccPed_trqDes,0x0168,STAT_AccPed_trqDes_WERT,unsigned long,-,Nm,-,0.1,-,0,AccPed_trqDes,Fahrerwunschmoment Sollpfad,Driver request torque target path
ActMod_trqClth,0x07D2,STAT_ActMod_trqClth_WERT,unsigned int,-,Nm,-,0.114443,-,-2500,ActMod_trqClth,aktuelles Kupplungsmoment,Current clutch torque
AFS_dmSensCorr_mp,0x070B,STAT_AFS_dmSensCorr_mp_WERT,unsigned int,-,kg/h,-,0.1,-,0,AFS_dmSensCorr_mp,korrigiertes Luftstromsignal,Corrected airflow signal
AFS_facIdlAdjVal_mp,0x070C,STAT_AFS_facIdlAdjVal_mp_WERT,unsigned int,-,-,-,0.000122,-,0,AFS_facIdlAdjVal_mp,Leerlaufkorrekturfaktor der Driftkompensation,Idle correction factor of the drift compensation
AFS_facIdlAdjValUnLim_mp,0x0712,STAT_AFS_facIdlAdjValUnLim_mp_WERT,unsigned int,-,-,-,0.000122,-,0,AFS_facIdlAdjValUnLim_mp,Luftmassenkorrekturfaktor im Leerlaufbereich vor Schrittbegrenzung,Air mass correction factor in idle range before step limitation
AFS_facLdAdjVal_mp,0x070D,STAT_AFS_facLdAdjVal_mp_WERT,unsigned int,-,-,-,0.000122,-,0,AFS_facLdAdjVal_mp,Lastkorrekturfaktor der Driftkompensation,Load correction factor of the drift compensation
AFS_facLdAdjValUnLim_mp,0x0713,STAT_AFS_facLdAdjValUnLim_mp_WERT,unsigned int,-,-,-,0.000122,-,0,AFS_facLdAdjValUnLim_mp,Luftmassenkorrekturfaktor im Lastbereich vor Schrittbegrenzung,Air mass correction factor in the load range before step limitation
AFS_rNorm_mp,0x070A,STAT_AFS_rNorm_mp_WERT,unsigned int,-,-,-,0.000122,-,0,AFS_rNorm_mp,Normiertes Luftstromverh?ltnis,Normalized airflow ratio
AFS_stPsShOff,0x0711,STAT_AFS_stPsShOff_WERT,unsigned char,-,-,-,1,-,0,AFS_stPsShOff,HFM-Abschaltbedingungen,HFM shutdown
AFS_stRstLoDrftThres_mp,0x1880,STAT_AFS_stRstLoDrftThres_mp_WERT,unsigned char,-,-,-,1,-,0,AFS_stRstLoDrftThres_mp,Status HFM-Erkennung,Status HFM detection
AFS_tiRaw,0x0714,STAT_AFS_tiRaw_WERT,unsigned long,-,us,-,0.05,-,0,AFS_tiRaw,Rohwert der Luftmassenperiode,Raw value of the air mass period
Air_pCACDs,0x077B,STAT_Air_pCACDs_WERT,unsigned int,-,hPa,-,1,-,0,Air_pCACDs,PT1-gefilterter Wert des Luftdrucks nach Ladeluftkühler,PT1 filtered value of air pressure after charge air cooler
Air_tEGRClrDs,0x0777,STAT_Air_tEGRClrDs_WERT,unsigned int,-,degC,-,0.016022,-,-50,Air_tEGRClrDs,Temperatur nach AGR-kühler,Temperature after EGR cooler
